"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","CITY","STRATA","GQ","PERNUM","PERWT","FAMSIZE","SEX","AGE","MARST","FERTYR","RACE","RACED","CITIZEN","SPEAKENG","HCOVANY","EDUC","EDUCD","EMPSTAT","EMPSTATD","FTOTINC"
2021,202101,795866,2021010000445,65.0,2021007958661,4630,130134,3,1,65.0,1,1,59,3,0,2,200,0,3,2,7,71,3,30,9999999
2021,202101,795910,2021010002100,83.0,2021007959101,4630,130134,3,1,83.0,1,1,25,6,0,2,200,0,3,2,6,63,3,30,9999999
2021,202101,795916,2021010002389,13.0,2021007959161,4630,130134,3,1,13.0,1,1,40,6,0,2,200,0,3,2,6,64,3,30,9999999
2021,202101,795943,2021010003684,77.0,2021007959431,4630,130134,3,1,77.0,1,1,55,2,0,8,845,0,3,2,6,64,3,30,9999999
2021,202101,795966,2021010004995,26.0,2021007959661,4630,130134,4,1,26.0,1,2,21,6,1,2,200,0,3,2,7,71,3,30,9999999
2021,202101,795973,2021010005426,88.0,2021007959731,4630,130134,3,1,88.0,1,1,42,2,0,1,100,0,3,2,6,63,3,30,9999999
2021,202101,796009,2021010007081,79.0,2021007960091,4630,130134,3,1,79.0,1,1,79,6,0,1,100,0,3,2,10,101,3,30,9999999
2021,202101,796021,2021010007618,99.0,2021007960211,4630,130234,4,1,99.0,1,1,19,6,0,1,100,0,3,2,6,65,3,30,9999999
2021,202101,796024,2021010007795,76.0,2021007960241,4630,130134,3,1,76.0,1,1,37,6,0,2,200,0,3,2,5,50,3,30,9999999
2021,202101,796033,2021010008182,50.0,2021007960331,4630,130134,4,1,50.0,1,2,18,6,1,6,610,0,3,2,7,71,3,30,9999999
2021,202101,796069,2021010009469,20.0,2021007960691,4630,130134,4,1,20.0,1,1,33,6,0,2,200,0,3,2,6,63,3,30,9999999
2021,202101,796076,2021010009572,112.0,2021007960761,4630,130134,4,1,112.0,1,1,21,6,0,2,200,0,3,2,7,71,3,30,9999999
2021,202101,796083,2021010009687,88.0,2021007960831,4630,130134,3,1,88.0,1,1,27,6,0,1,100,0,3,2,5,50,3,30,9999999
2021,202101,796104,2021010010872,86.0,2021007961041,4630,130234,4,1,86.0,1,2,23,6,1,2,200,0,3,2,10,101,3,30,9999999
2021,202101,796110,2021010011063,3.0,2021007961101,4630,130134,4,1,3.0,1,1,59,6,0,1,100,0,3,2,11,116,1,10,9999999
2021,202101,796117,2021010011350,32.0,2021007961171,4630,130134,3,1,32.0,1,1,37,6,0,2,200,0,3,2,5,50,3,30,9999999
2021,202101,796119,2021010011432,75.0,2021007961191,4630,130134,3,1,75.0,1,1,27,6,0,2,200,0,3,2,6,61,3,30,9999999
2021,202101,796152,2021010013469,23.0,2021007961521,4630,130134,4,1,23.0,1,1,57,6,0,2,200,0,3,2,6,63,2,20,9999999
2021,202101,796156,2021010013650,99.0,2021007961561,4630,130234,4,1,99.0,1,1,18,6,0,8,826,0,5,2,6,65,3,30,9999999
